Neural Net Type,Training Time (s),MAUC Score,Overall Accuracy,COUPE Accuracy,SEDAN Accuracy,TRUCK Accuracy,COUPE AUC,SEDAN AUC,TRUCK AUC
transfer,2.540257653000481,0.75,40.0%,0.0%,0.0%,100.0%,1.0,0.6666666666666667,0.5
resnet,4.859159710000313,0.9166666666666666,40.0%,0.0%,100.0%,0.0%,1.0,0.8333333333333334,0.8333333333333334
